occ1,hisco
Male unemployed coachman in Norfolk,98540
Female honn in Dorset,99999
Female hand fancy glove in Leicestershire,81290
Male land proprietor in Wiltshire,21020
Male grand daughter in Cheshire,99999
Male farmer of acr employing man in Essex,61110
Male clerk to engineer in Northumberland,32010
Male journeyman maker apprentice in London,99990
Male cotton loom jobber son in Lancashire,75120
Female tile runner in Cumberland,95990
Female miller w annuitant in Yorkshire North Riding,77110
Male carpenter employing man in Wiltshire,81210
Male locomotive maker jyman in Lancashire,84110
Male hosier in Essex,81390
Male pauper formerly fisherman in Lancashire,64110
Male wheelwright smith employg men in London,84250
Female flour dealer shop keeper in Derbyshire,45110
Female worker tinman plate foreman in Warwickshire,83210
Male street showman in London,17390
Male barronet in Sussex,21010
Male engine fitter journeyman in London,84120
Female house wife in Lincolnshire,54010
Male landlord in Wiltshire,21020
Male formerly a hotel servant in Lincolnshire,53190
Female woolen cloth linter in Gloucestershire,75190
Male inspector of railway in London,24210
Female corn dealer in Devon,45190
Male farmer of acres employing one out door agricultural labourer in Yorkshire West Riding,61110
Female pauper ag labr in Yorkshire West Riding,62110
Male retired victualler in Suffolk,57110
Female mender hosiery in Leicestershire,79990
Male child scholar servant in Cheshire,99990
Female charwoman receives parish relief in Norfolk,54090
Female in pottery in Glamorganshire,89110
Female tap barmaid in Sussex,53290
Male stone mason employing men in Staffordshire,93110
Unknown flower painter in Surrey,16190
Male surveyor estate agent and occupier of acres of land employing indoor and outdoor laboure in Kent,2130
Female wife pauper in Northumberland,99999
Male farmer acres in Leicestershire,61110
Male master plumber glazieremploying one in Suffolk,87110
Male assistant broker in Essex,32090
Male agricultural labourer in Kent,62110
Male boy farmer of acres employ labourer and in Somerset,61110
Male assistant corn dealer in London,45190
Male assistant officer of army and of volu in Worcestershire,1120
Male clerk to vice in London,32010
Male ginger beer man in Lancashire,77390
Male miller and inn keeper in Northumberland,77110
Female half timer flax miller in Yorkshire West Riding,75190
Male traveller in Norfolk,43190
Male proprietor of houses in Wiltshire,21020
Male box maker in Middlesex,82290
Male labourer gardener in Shropshire,62290
Male apprentice over looker of in Cheshire,99990
Male pensioner labourer and chelsea in Sussex,96210
Female farmer out door works in Lincolnshire,61110
Female butler wife in Lancashire,54020
Male poultorer in Essex,62190
Male watch maker in London,84140
Female hand power loom woolen in Lancashire,75120
Male farmer of acres employing labourer and in Worcestershire,61110
Male stone in Worcestershire,93990
Male book sellers son in Worcestershire,45140
Female formerly a domestic cook in Carnarvonshire,53110
Male lady door in Devon,99999
Male retired commander in Gloucestershire,1110
Female carter wife in Sussex,98520
Male labourer chemical works in Lancashire,79990
Male apprentice plasterer in Merionethshire,93210
Male grocer carrier in Kent,45120
Female ministers wife in Montgomeryshire,14110
Male house estate and medical agent in London,32090
Male farmer in Monmouthshire,61110
Male journeyman baker in Oxfordshire,77210
Male agent shipwright broker in Devon,84310
Male keepman in Durham,58190
Male joiner and grocer in Northumberland,81220
Male coachmaker trimmer in Middlesex,84230
Male curate of st peter in Suffolk,14110
Female retired wine dealer in Lancashire,45190
Female girl farmer in Yorkshire West Riding,61110
Male coal labourer in Lancashire,71110
Male master joiner employing in Durham,81220
Male brass manufacture in London,83290
Male retired gamekeeper in Gloucestershire,58140
Male managing clerk to solicitor in Somerset,32010
Male porter to grocer in Cheshire,97110
Female druggist wife in Wiltshire,7190
Female teacher national school in Norfolk,13110
Female shoringwife in London,99999
Female scutcher silk in Yorkshire West Riding,75190
Male dressmaker in Buckinghamshire,79410
Male miller in Buckinghamshire,77110
Male apprentice carpenter and painter in Kent,81210
Male machinist in Berkshire,84190
Male meat salesman in London,45190
Male clerk of curtons house agent in London,32010
Male clergyman not care of souls in Somerset,14110
Male farmer of acres employing boys in Carmarthenshire,61110
Male pork butcher shop in Northumberland,78210
Male schoolmaster of workhouse in Wiltshire,13110
Female house servant upper nurse in London,7210
Male farmer of acres employing man boys in Pembrokeshire,61110
Female hubber in a cotton factory in Lancashire,75190
Male jailer in London,58110
Male farming acres employing men and boys in Radnorshire,61110
Male coal dealer in Gloucestershire,45190
Male nail manufacture in Worcestershire,83190
Male st miner axillary in Cornwall,71190
Female farmer daughter in Cumberland,61110
Male journeyman tinman brazier in Norfolk,83210
Female farm of acres employ labourer in Dorset,61110
Female mustard packer in London,79990
Male ticket waiter in Yorkshire East Riding,53190
Male farmer acres man boys in Cambridgeshire,61110
Female formerly a domestic servant in Shropshire,95110
Female tobacconist employs man in London,45190
Male farmer of acres employing labourer boys in Yorkshire West Riding,61110
Female stock exchange in Cheshire,32090
Male coachmaker maker carriage in London,84230
Female maker up of prints in Cheshire,79990
Male sail maker in Worcestershire,79520
Male clerk in shipwright broker office in Lancashire,32010
Male apprentice drapers assistants in Lancashire,45130
Male ordnary in Norfolk,99999
Female domestic servant in London,95110
Female hand wife in Leicestershire,99999
Male silk throwster in Lincolnshire,75110
Female sewer at cotton works in Lancashire,79420
Female manufacturer wife in Leicestershire,99999
Male shoe maker in Sussex,81160
Female housekeeper cook servant in London,54010
Male soldier shoemaker in Surrey,1210
Female tailor in Cornwall,79410
Female locomotive engine drivers wife in Cheshire,98210
Female gardener wife in Warwickshire,62290
Male farmer acres in Monmouthshire,61110
Male house servant in Warwickshire,95110
Male boy baker errand in Lincolnshire,77210
Male figure maker cg in Staffordshire,85990
Male dredger fisherman in Essex,64110
Female cottage property in Kent (Extra London),21020
Male railway engine driver in Shropshire,98210
"Male matchmaker bryant m fusee in London (Parts Of Middlesex,",79990
Male goldsmith in Yorkshire East Riding (With,85110
"Male retired staff vety surgeon list madras army in London (Parts Of Middlesex,",6210
Male labourer carter out of employ in Lancashire,96210
Male apprentice iron moulder in Northumberland,83110
Female general domestic in Yorkshire West Riding,95110
Female blacksmith daughter in Montgomeryshire,83120
Male silversmith goldsmith cutter out of employ in Warwickshire,85120
Male agricultural labourer in Merionethshire,62110
Male farmer of acres employing men boys in Wiltshire,61110
Male labourer in ry works in Cheshire,96210
Male apprentice boiler maker in Surrey (Extra London),83110
Male bailiff foreman on a farm in Lincolnshire,62010
Female retired overlooker in Lancashire,75010
Male baliff in Essex,32090
"Male master builder m boys in London (Parts Of Middlesex,",93010
Female centre for alic cotton cottons in Lancashire,75190
Male member of st georges guild in Worcestershire,99999
Male queens porter messenger in Westmorland,97110
Male boy farmer acres employing men in Worcestershire,61110
Male apprentice draper in Carmarthenshire,45130
Female domestic domestic servant club house in Dorset,95110
Female ag labs wife in Gloucestershire,62110
Male author in Surrey (Extra London),15110
Male retired licensed victualler in Kent (Extra London),57110
"Male boy machinist messenger in London (Parts Of Middlesex,",84190
Female draper emplying assist in Kent (Extra London),45130
Male tutor in Monmouthshire,13110
"Male inspector of goods dept rly in London (Parts Of Middlesex,",24210
Male master basket maker employing men boys in Middlesex (Extra London),82390
Male quarreyman in Northumberland,95210
Male boy farmer acres labourer in Devon,61110
Male ostler in Essex,62320
Male estate laborer farm in Northamptonshire,62110
"Male pensioner attendant on gentleman in London (Parts Of Middlesex,",95990
Male cabinet makers foreman in Staffordshire,82010
Female dressmaker in Lancashire,79410
Female cotton minder in Yorkshire West Riding,75190
Male warehouseman news agent in Lancashire,39910
Male hawkers a c c in Essex,45190
"Male labourer brick layer in London (Parts Of Middlesex,",93510
Female domestic servant wife in Hampshire,95110
Male boy farm servant in Pembrokeshire,62110
Male taxidermist in Cheshire,85990
Male retired druggist in Warwickshire,7190
Female hotel waitress domestic servant in Montgomeryshire,53190
"Female income derived from freehold property in London (Parts Of Middlesex,",21020
Male boy farmer acres laborers in Staffordshire,61110
Female glove gaiter maker in Berkshire,81290
Male apprentice carpenter in Brecknockshire,81210
Male servant to a family domestic in Kent (Extra London),95110
Male schoolmaster and teacher of music in Bedfordshire,13110
"Male retired surveyor of taxes in London (Parts Of Middlesex,",2130
"Male police inspector supernumerary in London (Parts Of Middlesex,",58110
Male agricultural labourer in Shropshire,62110
Male farmer work on farm agricultural labourer in Cardiganshire,61110
Male journeyman agricultural labourer in Yorkshire West Riding,62110
Male son in Warwickshire,99999
"Female musician in London (Parts Of Middlesex,",17210
Female grocer hosiery framework knitter daughter in Nottinghamshire,45120
Male retired from business in Lancashire,99999
"Male waggon maker ry in London (Parts Of Middlesex,",84240
Female formerly a domestic servant in Pembrokeshire,95110
Male retired seaman in Hampshire,98320
Female organist in Wiltshire,17210
Male farmer of acres in Cornwall,61110
Male income from land in Cumberland,21020
Female twine spinners wife in Norfolk,75110
Male labourer at paper miller in Dorset,79990
"Female stationer fancy dealer in London (Parts Of Middlesex,",45190
Male boy railway gate points in Yorkshire East Riding (With,98290
Male master builder employs men in Buckinghamshire,93010
Male manufacturer in Nottinghamshire,21110
"Female leather bag maker draper in London (Parts Of Middlesex,",81290
Male farmer acres in Yorkshire West Riding,61110
Male pork butcher employing men in Carnarvonshire,78210
"Male laborer carriage cleaner in London (Parts Of Middlesex,",96210
Male engine stoker at a slate quarry in Carnarvonshire,97190
Male rector of fittleton in Wiltshire,14110
Female operative cotton out of work in Lancashire,75190
Male grain laborer corn dl in Lancashire,96210
Female assist to a linen draper in Norfolk,45130
"Female genlservtdomestic in London (Parts Of Middlesex,",95110
Male master plumber employing plumbers plumber labs in Leicestershire,87110
"Male clerk to bank in London (Parts Of Middlesex,",32010
Male servant man inn in Lancashire,53190
Male employed at ry wagon works in Leicestershire,84240
Female servant farm dom in Yorkshire East Riding (With,95110
"Female servant dom uneployed in London (Parts Of Middlesex,",95110
Female boy farmer of acres employg men in Suffolk,61110
Male callenderman in Cheshire,75190
Male farmer rel officer reg of b d in Carnarvonshire,61110
Male labr plumbers in Surrey (Extra London),87110
Male copper agent in Middlesex (Extra London),32090
Male superintendent suffolk county police in Suffolk,58010
Unknown patient in Lancashire,99999
Male hussars in Surrey,1210
Unknown kitchenmaid in Essex,53110
Male retired upholsterer in Huntingdonshire,82190
Male watch case springer in Staffordshire,84140
Male telegraph instrument maker in London,85990
Male linendraper in Wiltshire,45130
Male surveyor house agents clerk in London,2130
Male fulling miller labourer in Lancashire,77110
Male retired teacher in Nottinghamshire,13110
Female milliners bodice maker in Yorkshire West Riding,79430
Male mustard maker in Norfolk,79990
Male stock fitter at bedstead works in Worcestershire,82190
Male skindresser in Middlesex,81290
Male wine merchant in Yorkshire East Riding,41190
Male retired major full pay r marine in Cheshire,1110
Female machinist clock work in Warwickshire,84190
Female nurse mother in Lincolnshire,7210
Female confidential clerk in Lancashire,32010
Male retired foreman in Essex,99999
Male builders stock keeper in London,39910
Male warhouseman cotton miller in Lancashire,39910
Male master plasterer in Yorkshire West Riding,93210
Female massager in Yorkshire East Riding,7290
Male manager gas tubes works in Yorkshire North Riding,21110
Unknown accountant in Carnarvonshire,3110
Female boiler maker in Durham,83110
Male boy errand boot factory in Gloucestershire,81160
Male sawyer in Warwickshire,82210
Male shipping superintendent in Kent,24210
Male musician in Merionethshire,17210
Unknown seamstress in Islands In The British Seas,79420
Male farmer lause corporal in yeomanry in Monmouthshire,61110
Male clerk in southwark vauxhall water company in London,32010
Male agent to building society in Monmouthshire,32090
Female scabbler in Oxfordshire,95990
Male retired calico manufacture in Devon,75190
Male lime burner in Essex,79990
Male clerk and superintendent to burial board in Northumberland,32010
Male boy boy secretary to a slate quarry secretary to water works in Merionethshire,32010
Female clerk s bank in Surrey,32010
Female domestic servant childs maid in Lancashire,95110
Female woolen condenser minder in Yorkshire West Riding,75190
Male machinist iron driller in Lancashire,84190
Male apprentice fitters in Essex,84120
Male shop keeper oil colorman in London,45110
Male cattle drover small shop in Gloucestershire,62230
Male machinist in Staffordshire,84190
Male maker of engines boilers boats in Cheshire,84110
Male vegetable seller in Worcestershire,45190
Male farm servant in Norfolk,62110
Male general post office sorter in London,38110
Female assistant school in Surrey,13110
Male farm lad in Buckinghamshire,62110
Male tinker in Buckinghamshire,83210
Male custom house agents clerk in Kent,32010
Male stable lad in Berkshire,62320
Male erector of hydraulic machinery in London,84120
Male commercial traveller in London,43190
Male coachmaker in Staffordshire,84230
Male vocalist in Carnarvonshire,17210
Male levanter in Yorkshire West Riding,99999
Male drummer in Yorkshire West Riding,17210
Female house furniture clerk in London,32010
Male labourer brick yard in Shropshire,93510
Female setter on frames in Lancashire,75190
Female schoolmistress in London,13110
Male labourer in maltster house in Somerset,77310
Male apprentice turner iron works in Gloucestershire,82110
Male caretaker business premises in Yorkshire East Riding,58190
Male retired colo sergt royal marines in Cornwall,1210
Female postmistress in Denbighshire,38110
Unknown agricultural labourer son in Northamptonshire,62110
Male retired rural postman in Durham,38110
Female assistant in inn bar public house in London,53290
Male apprentice coachmaker smiths in Yorkshire West Riding,84230
Male labourer porter in Cambridgeshire,97110
Male carter in Shropshire,98520
Female retired fur muff stuffer in London,81390
Male labourer mechanical engineering works in Yorkshire West Riding,84190
Female farm in Cheshire,61110
Male steam engine machine f t makers fitter in London,84120
Female layer at tobacconists in Cheshire,45190
Female of george spencer steward on board steam shipwright wife in Yorkshire East Riding,84310
Male oilmans carrier in Kent,45190
Male highway surveyor in Lancashire,2130
Male chief superintendent of police department constbale in Northamptonshire,58010
Female decorater in London,93110
Male master works inspector in Lancashire,21110
Female boy shop in London,45110
Male assistant harness maker in Lancashire,81290
Male manager beer house and brewers labourer in Lancashire,77310
Female black polisher in Warwickshire,95990
Female factory furrier in London,81390
Male trummer in Surrey,99999
Male apprentice ropers in Cornwall,79520
Male coachbuilder in Cheshire,84230
Male music organist in Warwickshire,17210
Male assistant in postboy office in Monmouthshire,38110
Male retired commission agent sydney australia in Sussex,43190
Male yarn warehouse stock keeper in Leicestershire,39910
Male theatre bill inspector in Surrey,17390
Male cook in Glamorganshire,53110
Female pill maker in Kent,7190
Female brick wks oven in Staffordshire,93590
Male butcher servant in Merionethshire,78210
Male postal rearman in Yorkshire East Riding,38110
Male dealer in chinese goods in London,45190
Male apprentice forge lad in Lancashire,83120
Female sub postmistress grocer in Nottinghamshire,38110
Female housekeeper in Yorkshire West Riding,54010
Male clothiers porter in Norfolk,97110
Male brewer manufacturer in Wiltshire,77310
Male oilman shopkeeper in Middlesex,45110
Male labourer ordinary at road in Somerset,96210
Male apprentice provision curer in Cheshire,78290
Male agricultural labourer in Warwickshire,62110
Male poultry dresser in Lincolnshire,78290
Male copper manufacturer clerk in Lancashire,32010
Male colliery hitcher under ground in Glamorganshire,71110
Unknown gas hot water engineer in London,87190
Male overlooker of steamers in Lancashire,75010
Male railway clerk in Yorkshire East Riding,32010
Male schoolmaster in Yorkshire East Riding,13110
Male apprentice marble mason in Yorkshire East Riding,93110
Female head housemaid in Cheshire,95110
Male retired in Essex,99999
Male apprentice letterpress printer in Gloucestershire,92110
Male purfumer in Sussex,85990
Male retired general labourer in Lancashire,96210
Male retired stock exchange clerk in Middlesex,32010
Male hay binder on farm in Kent,62110
Unknown electrician in Monmouthshire,85220
Male gas hot water fitter maker in London,87190
Male train examiner wheelwright trapper in Monmouthshire,98290
Male drapers apprentice in Oxfordshire,45130
Male coalminer pony driver underground in Durham,71110
Male shop manager sea in Essex,24110
Female in charge of office selling rubber stamps in Northumberland,32010
Male farm yard man in Middlesex,62110
Male civil servant h m geological society in Surrey,32010
Male margarline traveller in Lancashire,43190
Female apron pinfore maker in Yorkshire West Riding,79420
Male maker up packer cotton in Lancashire,75190
Male suet dealer grocer in Essex,45120
Male cowman farm in Merionethshire,62220
Male inland revenue officer nd class in Hampshire,32010
Male shopkeeper in Staffordshire,45110
Male secretary of the royal station consular agency in Cornwall,32010
Male local board navvy with horses on farm in Worcestershire,96210
Male apprentice watch maker in Norfolk,84140
Male gas coy time keeper in London,32010
Male city accountant leeds in Yorkshire West Riding,3110
Female housemaid in Buckinghamshire,95110
Male carpenter in Buckinghamshire,81210
Female woolen piecer in Lancashire,75190
Male yeoman modeller in Bedfordshire,85990
Male telegraphist government in London,37210
Male examiner torpedo stores in London,24290
Male labourer fitters in Staffordshire,84120
Female servant domestic housemaid in Cheshire,95110
Male herdsman in Nottinghamshire,62220
Female servants register office in Worcestershire,32010
Male retired postboy office clerk in London,38110
Male sand quarry man in Shropshire,95210
Female dressmaker in Lancashire,79410
Female military leather stitches in London,81290
Male boy printers errand in Somerset,92110
Female army teacher in Hampshire,13110
Male coke maker ironworks in Worcestershire,71190
Male retired farm bailiff in Denbighshire,62010
Male apprentice designer in lead in Derbyshire,16190
Male railway coachmaker shop laborer in Northamptonshire,84230
Male day man on farm in Essex,62110
Male messenger city of london school in London,97110
Female blacksmith wife in Yorkshire North Riding,83120
Male gipsy basket maker in Carmarthenshire,82390
Male signalman in Somerset,98290
Male caretaker to engineer in London,58190
Male secretary at dyeworks in Yorkshire West Riding,32010
Male chainsmith in Cheshire,83190
Male timekeeper paper works in London,32010
Male iron moulder in Cheshire,83110
Male cycle wheelwright turner in Worcestershire,84250
Male driller dock yard in Lancashire,84190
Male turncock in Lancashire,87190
Male outside porter in Northamptonshire,97110
Female apprentice at swan edgars skirt in London,79420
Female glove runner on in Leicestershire,81290
Female organist music teacher in London,17210
Female hoze maker in rubber works in Lancashire,79990
Female wrapper up hosiery warehouse in Leicestershire,39910
Male ashphelter in Warwickshire,99999
Male civil servant nd div war office in London,32010
Male plumber painter glazier in Sussex,87110
Male retired railway attendant in Cumberland,98290
Male apprentice commission agent in Cheshire,43190
Male gas stokers laborer in Warwickshire,97190
Male inland revenue clerk in Monmouthshire,32010
Male brass bracket maker in Warwickshire,83290
Male clay carrying in Leicestershire,96210
Female assistant clerk in cutters office alldayevening class twice a week in Surrey,32010
Male to his father in Essex,99999
Male stopg royal navy in Kent,1210
Female retired elementary teacher in Somerset,13110
Male chaffeur motor in London,98510
Male mirror trade glass silverer in Worcestershire,89290
Male retired dr coll army pay department drawing pension in London,32010
Male kitchenmaid in lodging house in Lancashire,53110
Male apprentice watch maker in Northamptonshire,84140
Female domestic servant in Yorkshire West Riding,95110
Male coachman in Middlesex,98540
Male miller and corn dealer in Warwickshire,77110
Male hairdresser in London,57210
Male boy telegraph in Oxfordshire,37210
Male hatter wool livestricker in Cheshire,81390
Female laboruer on farm in Sussex,62110
Male apprentice fitter iron foundry in Lincolnshire,84120
Male retired mechanical engineer through accident in Lancashire,21210
Male private means in Essex,21020
Male shop errand in London,45110
Female bill poster in Lancashire,97190
Male apprentice grocer in Yorkshire East Riding,45120
Male general labourer gas tarring in Worcestershire,96210
Female penson in Yorkshire East Riding,99999
Female hosiery linker in Cheshire,79990
Male prentise riveter in shipyard shipwright plate in Durham,84310
Male ladys maid domestic in Hampshire,95110
Male fitter engineers shop in Surrey,84120
Male farmer horseman on farm son in Lancashire,61110
Male hat leather dresser in London,81290
Male lyons restaurant railway in Kent,53190
Female kitchen woman in Middlesex,53110
Male retired police inspector in London,58010
Male stoker in Middlesex,97190
Male assisting engr worker store in Northumberland,84120
Male shipwright fireman formerly in Durham,84310
Male apprentice engineering woks in Essex,84120
Male labourer in Norfolk,96210
Male strippen in London,99999
Male dock labourer in Suffolk,97110
Female of gentleman wife in Lancashire,99999
Female leather mat maker in Yorkshire West Riding,81290
Male cotton fruiterer maker up in Lancashire,75190
Male general labourer in Essex,96210
Male trammayer worker in London,98290
Male assistant undretakers in Hampshire,58190
Male labourer at cream factory in Shropshire,78290
Male apprentice iron founder in Cornwall,83110
Female lodging house keeper in Westmorland,57190
Male carriers booking clerk in Middlesex,32010
Female boot swing in London,99999
Female vitriot in Yorkshire West Riding,99999
Female waitress confectionery in Cambridgeshire,53190
Female shop keeper draper grocer in Cardiganshire,45110
Male apprentice brush maker in Lancashire,85990
Male retired platelayer in Berkshire,98290
Male civil servant nd dis clerk in London,32010
Male civil service examining officer customs in London,32010
Male land agent and private means in Shropshire,32090
Female assistant porter office in Cheshire,97110
Male shunter in Northamptonshire,98290
Female retired domestic servant in Wiltshire,95110
Female cashier at liptons in London,32010
Male caretaker girls high school in Nottinghamshire,58190
Female rover and doffer cotton in Lancashire,75190
Female millinery trade school in London,79430
Male horseman on farm in Nottinghamshire,62110
Male servant parlourmaid domestic in Hampshire,95110
Male hawker in Worcestershire,45190
Male labourer working on farm in Derbyshire,62110
Male coal lime iron works manager in Derbyshire,21110
Female apprentice book binder in Monmouthshire,92210
Male labourer bi co in Durham,96210
Female machinist in London,84190
Male iron moulders labourer in Yorkshire North Riding,83110
Male assistand in Carnarvonshire,99999
Male lace manufacturer in Nottinghamshire,75190
Female marnell in London,99999
Male apprentice iron founders pattern making in Yorkshire West Riding,83110
Male laborer now incompacity brough accident by earth falling in clay pitat a brick in Cheshire,96210
Male trarsler in London,99999
Male iron driller loco rly engines in Cheshire,84190
Male coachmaker body maker g w ry carrier works in Wiltshire,84230
Female assistant teacher upper elementary mixed in Lancashire,13110
Male maker of artificial leith in Lancashire,85990
Female farmer house keeper domestic daughter in Monmouthshire,61110
Female lampfactory in London,89990
Female lead miner in Leicestershire,71190
Female massuse in London,7290
Female comber tenter cardroom cardroom in Lancashire,75190
Female sewing machinist hosiery making up in Leicestershire,79420
Female servant help domestic in Sussex,95110
Female box fillers wax match in London,79990
Female auctioneer in Surrey,43110
Male house joiner and wood turner in Cumberland,81220
Male boy general errand in Cheshire,97110
Female buster dono in Sussex,99999
Male shirtmaker in Middlesex,79420
Female consulting engineers typist in Warwickshire,32010
Female formerly farmer servant in Anglesey,62110
Female collier in Anglesey,71110
Male railway pointman in Anglesey,98290
Male boy farmer acres employing men in Anglesey,61110
Male hostler at an hotel in Anglesey,53190
Male annuitant in Anglesey,21020
Female houses and land in Bedfordshire,21020
Male boy victualler from emp man in Bedfordshire,57110
Male farmer employing acres in Bedfordshire,61110
Male market gardiner beer retailer in Bedfordshire,62290
Male machinist in Berkshire,84190
Female pauper domestic servant in Berkshire,95110
Male late almswoman carpenter in Berkshire,81210
Male chemists druggist in Berkshire,7190
Male linen draper assistants in Berkshire,45130
Male mole stick maker in Berkshire,85990
Male bankers clerk in Brecknockshire,32010
Female instructeress in Brecknockshire,13110
Female farmer of acres widow in Brecknockshire,61110
Female iron miner in Brecknockshire,71190
Male farmer of acres employing man in Brecknockshire,61110
Male coal miner wife in Brecknockshire,99999
Male engineers servant in British Ships In Home Ports,95110
Male dressmaker in Buckinghamshire,79410
Male caner in Buckinghamshire,82390
Female knitster in Buckinghamshire,79420
Female domestic brewers wife in Buckinghamshire,99999
Male relieving officer registrar in Buckinghamshire,32090
Male author in Buckinghamshire,15110
Male marine store in Buckinghamshire,45190
Male miller in Buckinghamshire,77110
Male inn keeper and butcher in Buckinghamshire,57110
Male pauper labourer in Buckinghamshire,96210
Male cook in Cambridgeshire,53110
Female late lodging house keeper in Cambridgeshire,57190
Female pharmacy nurse in Cambridgeshire,7210
Female college servant in Cambridgeshire,95110
Female omitted in no module in Cambridgeshire,99999
Male late land steward in Cambridgeshire,62010
Male farmer acres man boys in Cambridgeshire,61110
Male publican farmer of acres in Cambridgeshire,57110
Male agricultural labourer in Cambridgeshire,62110
Male assistant hasler employing in Cambridgeshire,32090
Male victualler and door builder in Cambridgeshire,57110
Male linen and woollen draper in Cambridgeshire,45130
Male boot maker employing men woman in Cambridgeshire,81160
Male flour dealer in Cambridgeshire,45190
Male farm servant in Cardiganshire,62110
Male merchant in Cardiganshire,41190
Female formarly agricultural labourer deceased in Cardiganshire,62110
Male farmer acres bailiff farm in Cardiganshire,61110
Male master linen and woollen draper in Cardiganshire,45130
Male railway officer in Carmarthenshire,98290
Female clogs a wooden thorn man wife in Carmarthenshire,99999
Male farmer of acres employing boys in Carmarthenshire,61110
Male holder of acres employing labourer in Carmarthenshire,61110
Female parish officer daughter in Carnarvonshire,99999
Male servant on farm in Carnarvonshire,62110
Female brick maker wife in Carnarvonshire,99999
Female formerly a domestic cook in Carnarvonshire,53110
Female publican keeping a tavern in Carnarvonshire,57110
Male farmer of acres and joiner in Carnarvonshire,61110
Male bailiff farm acres employing men in Carnarvonshire,62010
Female locomotive engine drivers wife in Cheshire,99999
Female drawing in Cheshire,16190
Male twister at cotton miller in Cheshire,75190
Female stock exchange in Cheshire,32090
Female maker up of prints in Cheshire,79990
Female silk and scholar in Cheshire,99990
Male clark in general carriers office in Cheshire,32010
Male apprentice over looker of in Cheshire,99990
Male agent on commission in Cheshire,43190
Male coachman and domestic servant in Cheshire,98540
Male hall keeper in Cheshire,58190
Male laundry service in Cheshire,95990
Male clerk for auctioneer in Cheshire,32010
Male porter to grocer in Cheshire,97110
Male upholsterer employing men boys women in Cheshire,82190
Male farm bailiff in Cheshire,62010
Male farm bailiff of acres in Cheshire,62010
Male master coachmaker in Cheshire,84230
Male fitter and pattern maker in Cheshire,84120
Male labourer for brick makers in Cheshire,93510
Male chemist in Cheshire,7190
Male hand cotton reeler in Cheshire,75190
Male silk factory manager in Cheshire,21110
Male late royal dresser in Cheshire,99999
Male barhouse apprentice in Cheshire,99990
Female tailor in Cornwall,79410
Male boy agricultural labourer in Cornwall,62110
Female innkeeper in Cornwall,57110
Female draper in Cornwall,45130
Female occupying house maid in Cornwall,95110
Female draper labourer in a copper miner in Cornwall,71190
Female leaseholders wife in Cornwall,99999
Female china clay agents daughter in Cornwall,99999
Male st miner axillary in Cornwall,71190
Male surgeon dentist in Cornwall,6120
Male agent to bank postmaster stationer in Cornwall,32090
Male boy farmer of acres employing in Cornwall,61110
Male farmer acres and in Cornwall,61110
Male farmer acres labourer in Cornwall,61110
Male agricultural labourer in Cornwall,62110
Male formerly farmer servant in Cornwall,62110
